2021-02-17	20:19:31.1919	hh:mm:ss 201931
2021-02-17	20:19:32.1919	hh:mm:ss 201932
2021-02-17	20:19:33.1919	hh:mm:ss 201933
2021-02-17	20:19:34.1919	hh:mm:ss 201934
2021-02-17	20:19:35.1919	hh:mm:ss 201935
2021-02-17	20:19:36.1919	hh:mm:ss 201936
2021-02-17	20:19:37.1919	hh:mm:ss 201937
2021-02-17	20:19:38.1919	hh:mm:ss 201938
2021-02-17	20:19:39.1919	hh:mm:ss 201939
2021-02-17	20:19:40.1919	hh:mm:ss 201940
2021-02-17	20:19:41.1919	hh:mm:ss 201941
2021-02-17	20:19:42.1919	hh:mm:ss 201942
2021-02-17	20:19:43.1919	hh:mm:ss 201943
2021-02-17	20:19:44.1919	hh:mm:ss 201944
2021-02-17	20:19:45.1919	hh:mm:ss 201945
2021-02-17	20:19:46.1919	hh:mm:ss 201946
2021-02-17	20:19:47.1919	hh:mm:ss 201947
2021-02-17	20:19:48.1919	hh:mm:ss 201948
2021-02-17	20:19:49.1919	hh:mm:ss 201949
2021-02-17	20:19:50.1919	hh:mm:ss 201950
2021-02-17	20:19:51.1919	hh:mm:ss 201951
2021-02-17	20:19:52.1919	hh:mm:ss 201952
2021-02-17	20:21:55.2121	**** Start Aplikacji ****
2021-02-17	20:21:55.2121	sopp.log
2021-02-17	20:21:55.2121	Połączono z bazą danych 
2021-02-17	20:21:55.2121	***** Ustawienia *****
2021-02-17	20:21:55.2121	dbDriver QSQLITE
2021-02-17	20:21:55.2121	dbConnection prov
2021-02-17	20:21:55.2121	dbName C:/airek/software/SOPP/sopp.db
2021-02-17	20:21:55.2121	Line name 10032-15
2021-02-17	20:21:55.2121	log name sopp.log
2021-02-17	20:21:55.2121	magic nr 077528
2021-02-17	20:21:55.2121	Part nr 78521,10
2021-02-17	20:21:55.2121	target per H 0
2021-02-17	20:21:55.2121	target per shift 0
2021-02-17	20:21:55.2121	Status KONIEC ZLECENIA
2021-02-17	20:21:55.2121	result per H 0
2021-02-17	20:21:55.2121	result per shift 0
2021-02-17	20:21:55.2121	backend is true
2021-02-17	20:21:55.2121	signal ok BOK
2021-02-17	20:21:55.2121	shiftFactor 7.75
2021-02-17	20:21:55.2121	minVal 80
2021-02-17	20:21:55.2121	midVal 80
2021-02-17	20:21:55.2121	maxVal 90
2021-02-17	20:21:55.2121	firstShift 11
2021-02-17	20:21:55.2121	second shift 19
2021-02-17	20:21:55.2121	third shift 6
2021-02-17	20:21:55.2121	backendtime jest true 
2021-02-17	20:21:56.2121	Magic number is cool
2021-02-17	20:24:40.2424	**** Start Aplikacji ****
2021-02-17	20:24:40.2424	sopp.log
2021-02-17	20:24:40.2424	Połączono z bazą danych 
2021-02-17	20:24:40.2424	***** Ustawienia *****
2021-02-17	20:24:40.2424	dbDriver QSQLITE
2021-02-17	20:24:40.2424	dbConnection prov
2021-02-17	20:24:40.2424	dbName C:/airek/software/SOPP/sopp.db
2021-02-17	20:24:40.2424	Line name 10032-15
2021-02-17	20:24:40.2424	log name sopp.log
2021-02-17	20:24:40.2424	magic nr 077528
2021-02-17	20:24:40.2424	Part nr 78521,10
2021-02-17	20:24:40.2424	target per H 0
2021-02-17	20:24:40.2424	target per shift 0
2021-02-17	20:24:40.2424	Status KONIEC ZLECENIA
2021-02-17	20:24:40.2424	result per H 0
2021-02-17	20:24:40.2424	result per shift 0
2021-02-17	20:24:40.2424	backend is true
2021-02-17	20:24:40.2424	signal ok BOK
2021-02-17	20:24:40.2424	shiftFactor 7.75
2021-02-17	20:24:40.2424	minVal 80
2021-02-17	20:24:40.2424	midVal 80
2021-02-17	20:24:40.2424	maxVal 90
2021-02-17	20:24:40.2424	firstShift 11
2021-02-17	20:24:40.2424	second shift 21
2021-02-17	20:24:40.2424	third shift 6
2021-02-17	20:32:20.3232	**** Start Aplikacji ****
2021-02-17	20:32:20.3232	sopp.log
2021-02-17	20:32:20.3232	Połączono z bazą danych 
2021-02-17	20:32:20.3232	***** Ustawienia *****
2021-02-17	20:32:20.3232	dbDriver QSQLITE
2021-02-17	20:32:20.3232	dbConnection prov
2021-02-17	20:32:20.3232	dbName C:/airek/software/SOPP/sopp.db
2021-02-17	20:32:20.3232	Line name 10032-15
2021-02-17	20:32:20.3232	log name sopp.log
2021-02-17	20:32:20.3232	magic nr 077528
2021-02-17	20:32:20.3232	Part nr 78521,10
2021-02-17	20:32:20.3232	target per H 0
2021-02-17	20:32:20.3232	target per shift 0
2021-02-17	20:32:20.3232	Status KONIEC ZLECENIA
2021-02-17	20:32:20.3232	result per H 0
2021-02-17	20:32:20.3232	result per shift 0
2021-02-17	20:32:20.3232	backend is true
2021-02-17	20:32:20.3232	signal ok BOK
2021-02-17	20:32:20.3232	shiftFactor 7.75
2021-02-17	20:32:20.3232	minVal 80
2021-02-17	20:32:20.3232	midVal 80
2021-02-17	20:32:20.3232	maxVal 90
2021-02-17	20:32:20.3232	firstShift 11
2021-02-17	20:32:20.3232	second shift 21
2021-02-17	20:32:20.3232	third shift 6
2021-02-17	20:32:21.3232	backendtime jest true 
2021-02-17	20:32:21.3232	Magic number is cool
2021-02-17	20:32:22.3232	czas: 202232
2021-02-17	20:32:23.3232	czas: 202332
2021-02-17	20:32:24.3232	czas: 202432
2021-02-17	20:32:25.3232	czas: 202532
2021-02-17	20:32:26.3232	czas: 202632
2021-02-17	20:32:27.3232	czas: 202732
2021-02-17	20:32:28.3232	czas: 202832
2021-02-17	20:32:29.3232	czas: 202932
2021-02-17	20:32:30.3232	czas: 203032
2021-02-17	20:32:31.3232	czas: 203132
2021-02-17	20:32:32.3232	czas: 203232
2021-02-17	20:32:33.3232	czas: 203332
2021-02-17	20:32:34.3232	czas: 203432
2021-02-17	20:32:35.3232	czas: 203532
2021-02-17	20:32:36.3232	czas: 203632
2021-02-17	20:32:37.3232	czas: 203732
2021-02-17	20:32:38.3232	czas: 203832
2021-02-17	20:32:39.3232	czas: 203932
2021-02-17	20:32:40.3232	czas: 204032
2021-02-17	20:32:41.3232	czas: 204132
2021-02-17	20:32:42.3232	czas: 204232
2021-02-17	20:32:43.3232	czas: 204332
2021-02-17	20:32:44.3232	czas: 204432
2021-02-17	20:32:45.3232	czas: 204532
2021-02-17	20:32:46.3232	czas: 204632
2021-02-17	20:32:47.3232	czas: 204732
2021-02-17	20:32:48.3232	czas: 204832
2021-02-17	20:32:49.3232	czas: 204932
2021-02-17	20:32:50.3232	czas: 205032
2021-02-17	20:32:51.3232	czas: 205132
2021-02-17	20:32:52.3232	czas: 205232
2021-02-17	20:32:53.3232	czas: 205332
2021-02-17	20:32:54.3232	czas: 205432
2021-02-17	20:32:55.3232	czas: 205532
2021-02-17	20:32:56.3232	czas: 205632
2021-02-17	20:32:57.3232	czas: 205732
2021-02-17	20:32:58.3232	czas: 205832
2021-02-17	20:32:59.3232	czas: 205932
2021-02-17	20:33:00.3333	czas: 200033
2021-02-17	20:33:01.3333	czas: 200133
2021-02-17	20:33:02.3333	czas: 200233
2021-02-17	20:33:03.3333	czas: 200333
2021-02-17	20:33:04.3333	czas: 200433
2021-02-17	20:33:05.3333	czas: 200533
2021-02-17	20:33:06.3333	czas: 200633
2021-02-17	20:33:07.3333	czas: 200733
2021-02-17	20:33:08.3333	czas: 200833
2021-02-17	20:33:09.3333	czas: 200933
2021-02-17	20:33:10.3333	czas: 201033
2021-02-17	20:33:11.3333	czas: 201133
2021-02-17	20:33:12.3333	czas: 201233
2021-02-17	20:33:13.3333	czas: 201333
2021-02-17	20:33:14.3333	czas: 201433
2021-02-17	20:33:15.3333	czas: 201533
2021-02-17	20:33:16.3333	czas: 201633
2021-02-17	20:33:17.3333	czas: 201733
2021-02-17	20:33:18.3333	czas: 201833
2021-02-17	20:33:19.3333	czas: 201933
2021-02-17	20:33:20.3333	czas: 202033
2021-02-17	20:33:27.3333	**** Start Aplikacji ****
2021-02-17	20:33:27.3333	sopp.log
2021-02-17	20:33:27.3333	Połączono z bazą danych 
2021-02-17	20:33:27.3333	***** Ustawienia *****
2021-02-17	20:33:27.3333	dbDriver QSQLITE
2021-02-17	20:33:27.3333	dbConnection prov
2021-02-17	20:33:27.3333	dbName C:/airek/software/SOPP/sopp.db
2021-02-17	20:33:27.3333	Line name 10032-15
2021-02-17	20:33:27.3333	log name sopp.log
2021-02-17	20:33:27.3333	magic nr 077528
2021-02-17	20:33:27.3333	Part nr 78521,10
2021-02-17	20:33:27.3333	target per H 0
2021-02-17	20:33:27.3333	target per shift 0
2021-02-17	20:33:27.3333	Status KONIEC ZLECENIA
2021-02-17	20:33:27.3333	result per H 0
2021-02-17	20:33:27.3333	result per shift 0
2021-02-17	20:33:27.3333	backend is true
2021-02-17	20:33:27.3333	signal ok BOK
2021-02-17	20:33:27.3333	shiftFactor 7.75
2021-02-17	20:33:27.3333	minVal 80
2021-02-17	20:33:27.3333	midVal 80
2021-02-17	20:33:27.3333	maxVal 90
2021-02-17	20:33:27.3333	firstShift 11
2021-02-17	20:33:27.3333	second shift 21
2021-02-17	20:33:27.3333	third shift 6
2021-02-17	20:33:28.3333	backendtime jest true 
2021-02-17	20:33:28.3333	Magic number is cool
2021-02-17	20:33:29.3333	czas: 203329
2021-02-17	20:33:30.3333	czas: 203330
2021-02-17	20:33:31.3333	czas: 203331
2021-02-17	20:33:32.3333	czas: 203332
2021-02-17	20:33:33.3333	czas: 203333
2021-02-17	20:33:34.3333	czas: 203334
2021-02-17	20:33:35.3333	czas: 203335
2021-02-17	20:33:36.3333	czas: 203336
2021-02-17	20:33:37.3333	czas: 203337
2021-02-17	20:33:38.3333	czas: 203338
2021-02-17	20:33:39.3333	czas: 203339
