ID;nr_wyrobu;nazwa_wyrobu;ilosc_na_zmiane_ke
182;67187,10;EX DE Acohol Eggs;33195
183;67187,20;EX DE Acohol Eggs;33195
184;63087,10;EX DE Alcohol Eggs Irish Cream;33195
185;63087,20;EX DE Alcohol Eggs Irish Cream;33195
186;60523,00;Blumen Edition Rîhrchen;15120
187;736526,10;Z VP Alkohol Eier 67181;33195
188;736526,20;Z VP Alkohol Eier 67181;33195
189;60429,00;Lindor Edition Cornet Milch;7800
190;67181,10;Alkohol SpezialitÑten Eier;33195
191;67181,20;Alkohol SpezialitÑten Eier;33195
192;67171,10;Kirschwasser Eier;33195
193;67171,20;Kirschwasser Eier;33195
194;63081,10;Irish Cream Eier;33195
195;63081,20;Irish Cream Eier;33195
196;922136,00;Z VP Hello Hearts 30er 23731;180000
197;60453,00;Macarons gro·es Geschenk;7200
198;13791,00;Chocoladenherzen;130000
199;60533,00;Oster-Gold Mini-Ballotin;9600
200;12761,00;Lindor Vday Kis.Milk 325 g;9660
201;85484,00;PW Hochfein Geschenk;5816
202;13986,10;EX FR,DE Lindor Milk Multip.;27600
203;13986,20;EX FR,DE Lindor Milk Multip.;27600
204;13986,00;EX FR,DE Lindor Milk Multip.;27600
205;922242,00;Z VP Lind.Kissen Krokus 9781;9660
206;60975,00;Kissenpackung bunt;6800
207;61005,00;Mini Kissen Lindor gold;9000
208;23821,00;Hello Gift Card Emoti;10500
209;60989,00;Kissenpackung gro· gold;8784
210;61013,00;Osternest bunt;7800
211;61015,00;Osternest gold;7800
212;922180,00;Z VP Lind.Krokus Kissen 13671;11760
213;61029,00;Oster-M.Metall Klee o.P.;16260
214;13671,00;Lindor Krokus Kissen Milk;11760
215;61003,00;Mini Kissen Lindor bunt;9000
216;90275,00;Lufthansa Lindor-Gift rot;25000
217;23827,00;EX DE Hello Gift Card Emoti;10500
218;922200,00;Z VP Chocoladenherzen 13791;130000
219;13677,00;EX DE Lindor Milk Pillow Crocus;11760
